titulo,autor,duracion,enlace
Just for the Summer,Abby Jimenez,Duración: 11 h y 43 m,https://www.audible.com/es_US/pd/Just-for-the-Summer-Audiolibro/B0CFC89N3C
After 1177 B.C.,Eric H. Cline,Duración: 9 h y 18 m,https://www.audible.com/es_US/pd/After-1177-BC-Audiolibro/B0CXVKPFHQ
The Witch Queen of Halloween,Kresley Cole,Duración: 5 h y 16 m,https://www.audible.com/es_US/pd/The-Witch-Queen-of-Halloween-Audiolibro/B0CZBVC177
Millionaire Mission,Brian Preston,Duración: 6 h y 30 m,https://www.audible.com/es_US/pd/Millionaire-Mission-Audiolibro/B0CXBHWSDG
Speak the Blessing,Joel Osteen,Duración: 3 h y 13 m,https://www.audible.com/es_US/pd/Speak-the-Blessing-Audiolibro/B0CFCMPQKT
Angel of Vengeance,Douglas Preston,Duración: 14 h,https://www.audible.com/es_US/pd/Angel-of-Vengeance-Audiolibro/B0CNBP2JCJ
The Algebra of Wealth,Scott Galloway,Duración: 8 h y 29 m,https://www.audible.com/es_US/pd/The-Algebra-of-Wealth-Audiolibro/B0C6YL9M27
Think Twice,Harlan Coben,Duración: 10 h,https://www.audible.com/es_US/pd/Think-Twice-Audiolibro/B0CKTTN1Z2
The Silence at Mystery Bay,D.D. Black,Duración: 5 h y 47 m,https://www.audible.com/es_US/pd/The-Silence-at-Mystery-Bay-Audiolibro/B0CZSTB4Q3
Tapping Out,Nikki Ash,Duración: 8 h y 33 m,https://www.audible.com/es_US/pd/Tapping-Out-Audiolibro/B0CZ7PKZ2C
God Emperor of Dune,Frank Herbert,Duración: 15 h y 48 m,https://www.audible.com/es_US/pd/God-Emperor-of-Dune-Audiolibro/B002V5D08G
The Rip,Holly Craig,Duración: 10 h y 18 m,https://www.audible.com/es_US/pd/The-Rip-Audiolibro/B0CV5LYF5T
Dungeon Life 2,Khenal,Duración: 15 h y 5 m,https://www.audible.com/es_US/pd/Dungeon-Life-2-Audiolibro/B0CYHRW6XJ
A Death in Venice,Verity Bright,Duración: 8 h y 48 m,https://www.audible.com/es_US/pd/A-Death-in-Venice-Audiolibro/B0CY611DBQ
Grave Mountain,Wendy Dranfield,Duración: 10 h y 47 m,https://www.audible.com/es_US/pd/Grave-Mountain-Audiolibro/B0CZ1BJHN4
Scavengers,Brian J. Nordon,Duración: 21 h y 58 m,https://www.audible.com/es_US/pd/Scavengers-Audiolibro/B0CYCXQWVR
Storms and Secrets,Claire Kingsley,Duración: 10 h y 41 m,https://www.audible.com/es_US/pd/Storms-and-Secrets-Audiolibro/B0CX28HN6C
An Unfinished Love Story,Doris Kearns Goodwin,Duración: 17 h y 38 m,https://www.audible.com/es_US/pd/An-Unfinished-Love-Story-Audiolibro/B0CFYRF5M5
Nexus,Yuval Noah Harari,Duración: 14 h,https://www.audible.com/es_US/pd/Nexus-Audiolibro/B0CT49S3V8
Death's End,Cixin Liu,Duración: 28 h y 51 m,https://www.audible.com/es_US/pd/Deaths-End-Audiolibro/B01LW7OXWP
The Mad Mick Box Set Volume 2,Franklin Horton,Duración: 29 h y 35 m,https://www.audible.com/es_US/pd/The-Mad-Mick-Box-Set-Volume-2-Audiolibro/B0CZLZKQHW
Treasures in the Dark,Katherine Wolf,Duración: 8 h y 56 m,https://www.audible.com/es_US/pd/Treasures-in-the-Dark-Audiolibro/B0CB1TC4DZ
Thirst,Nicole Falls,Duración: 2 h y 41 m,https://www.audible.com/es_US/pd/Thirst-Audiolibro/B0CZPHJGC9
Queen of Shadows,Sarah J. Maas,Duración: 20 h y 43 m,https://www.audible.com/es_US/pd/Queen-of-Shadows-Audiolibro/B012BTUEVC
Cop vs. Capo,Cari Z,Duración: 6 h y 37 m,https://www.audible.com/es_US/pd/Cop-vs-Capo-Audiolibro/B0CZSGFHQT
Morning Star,Pierce Brown,Duración: 21 h y 50 m,https://www.audible.com/es_US/pd/Morning-Star-Audiolibro/B019NMZ6FE
Tom Clancy Shadow State,M.P. Woodward,Duración: 15 h,https://www.audible.com/es_US/pd/Tom-Clancy-Shadow-State-Audiolibro/B0CPTJFLBF
Dune Messiah,Frank Herbert,Duración: 8 h y 57 m,https://www.audible.com/es_US/pd/Dune-Messiah-Audiolibro/B002V8H660
Ashborn Primordial,Vowron Prime,Duración: 24 h y 7 m,https://www.audible.com/es_US/pd/Ashborn-Primordial-Audiolibro/B0CW21HW3Q
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Duración: 14 h y 40 m,https://www.audible.com/es_US/pd/Legend-of-the-Arch-Magus-Publishers-Pack-6-Audiolibro/B0CTKZXQ9Y
Kubrick,Robert P. Kolker,Duración: 24 h y 33 m,https://www.audible.com/es_US/pd/Kubrick-Audiolibro/B0CTC29414
House of Sky and Breath,Sarah J. Maas,Duración: 27 h y 42 m,https://www.audible.com/es_US/pd/House-of-Sky-and-Breath-Audiolibro/B09MZPZ1WG
The Complete Conversations with God,Neale Donald Walsch,Duración: 26 h y 33 m,https://www.audible.com/es_US/pd/The-Complete-Conversations-with-God-Audiolibro/B07HB4VGPB
For the Fans,Nyla K,Duración: 22 h y 39 m,https://www.audible.com/es_US/pd/For-the-Fans-Audiolibro/B0CGXY534B
Between Never and Forever,Shain Rose,Duración: 11 h y 47 m,https://www.audible.com/es_US/pd/Between-Never-and-Forever-Audiolibro/B0CZ4NNS4Y
Avatar,Seth Ring,Duración: 14 h,https://www.audible.com/es_US/pd/Avatar-Audiolibro/B0CT4HGMFJ
Close to Death,Anthony Horowitz,Duración: 9 h y 12 m,https://www.audible.com/es_US/pd/Close-to-Death-Audiolibro/B0C91T72CM
The Beloved,J.R. Ward,Duración: 13 h y 4 m,https://www.audible.com/es_US/pd/The-Beloved-Audiolibro/B0C876WSHD
The Fellowship of the Ring,J. R. R. Tolkien,Duración: 22 h y 38 m,https://www.audible.com/es_US/pd/The-Fellowship-of-the-Ring-Audiolibro/1705047572
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Duración: 18 h y 53 m,https://www.audible.com/es_US/pd/Secrets-and-Strife-An-Isekai-LitRPG-Audiolibro/B0CPTBF8H1
Raising Mentally Strong Kids,Daniel G. Amen M.D.,Duración: 11 h y 17 m,https://www.audible.com/es_US/pd/Raising-Mentally-Strong-Kids-Audiolibro/B0CWM658K2
Tower of Silence,Larry Correia,Duración: 16 h y 1 m,https://www.audible.com/es_US/pd/Tower-of-Silence-Audiolibro/B0CXTZS831
A World Made New: A Channeled Text,Paul Selig,Duración: 9 h y 15 m,https://www.audible.com/es_US/pd/A-World-Made-New-A-Channeled-Text-Audiolibro/B0CW7TR82T
George Orwell’s 1984,George Orwell,Duración: 3 h y 27 m,https://www.audible.com/es_US/pd/George-Orwells-1984-Audiolibro/B0CRRP4WW7
Cold Iron Task,James J. Butcher,Duración: 11 h,https://www.audible.com/es_US/pd/Cold-Iron-Task-Audiolibro/B0CTNNB84W
The Outlaw Noble Salt,Amy Harmon,Duración: 13 h y 44 m,https://www.audible.com/es_US/pd/The-Outlaw-Noble-Salt-Audiolibro/B0CK555S2R
The Surrogate,Penelope Ward,Duración: 9 h y 52 m,https://www.audible.com/es_US/pd/The-Surrogate-Audiolibro/B0CTMXC73Y
Expiration Dates,Rebecca Serle,Duración: 6 h y 54 m,https://www.audible.com/es_US/pd/Expiration-Dates-Audiolibro/B0C7XXYPM7
Crowns of Ice,Krista Street,Duración: 9 h y 37 m,https://www.audible.com/es_US/pd/Crowns-of-Ice-Audiolibro/B0CZ5DFGKQ
The Total Money Makeover Updated and Expanded,Dave Ramsey,Duración: 7 h y 17 m,https://www.audible.com/es_US/pd/The-Total-Money-Makeover-Updated-and-Expanded-Audiolibro/B0CNDFJQ7H
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Duración: 9 h y 2 m,https://www.audible.com/es_US/pd/Harry-Potter-and-the-Chamber-of-Secrets-Book-2-Audiolibro/B017V4IWVG
First Necromancer: Book I,Coldfang89,Duración: 17 h y 47 m,https://www.audible.com/es_US/pd/First-Necromancer-Book-I-Audiolibro/B0CZ7NFK62
Project Duke,Mariah Stone,Duración: 9 h y 22 m,https://www.audible.com/es_US/pd/Project-Duke-Audiolibro/B0CZMBVVCJ
The 21 Irrefutable Laws of Leadership: 25th Anniversary,John C. Maxwell,Duración: 9 h y 32 m,https://www.audible.com/es_US/pd/The-21-Irrefutable-Laws-of-Leadership-25th-Anniversary-Audiolibro/B09MGC94DG
Toxic Prey,John Sandford,Duración: 11 h y 19 m,https://www.audible.com/es_US/pd/Toxic-Prey-Audiolibro/B0CFBV1HYT
The Pucking Wrong Date,C.R. Jane,Duración: 10 h,https://www.audible.com/es_US/pd/The-Pucking-Wrong-Date-Audiolibro/B0CSLTBRJB
Words of Radiance,Brandon Sanderson,Duración: 48 h y 13 m,https://www.audible.com/es_US/pd/Words-of-Radiance-Audiolibro/B00HWF0MHW
Outlander,Diana Gabaldon,Duración: 32 h y 38 m,https://www.audible.com/es_US/pd/Outlander-Audiolibro/B002V1CJ8W
Ian Fleming,Nicholas Shakespeare,Duración: 29 h y 17 m,https://www.audible.com/es_US/pd/Ian-Fleming-Audiolibro/B0C7DPQR74
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Duración: 9 h y 22 m,https://www.audible.com/es_US/pd/Fourth-Wing-Part-2-of-2-Dramatized-Adaptation-Audiolibro/B0CQQ6ZV5J
A Clash of Kings,George R.R. Martin,Duración: 37 h y 12 m,https://www.audible.com/es_US/pd/A-Clash-of-Kings-Audiolibro/B002UZKIBO
A Storm of Swords,George R.R. Martin,Duración: 47 h y 34 m,https://www.audible.com/es_US/pd/A-Storm-of-Swords-Audiolibro/B0036NQ9Z8
Endfall,David Estes,Duración: 46 h y 19 m,https://www.audible.com/es_US/pd/Endfall-Audiolibro/B0CWVX3C5S
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Duración: 12 h,https://www.audible.com/es_US/pd/Star-Wars-Temptation-of-the-Force-The-High-Republic-Audiolibro/B0CMKBFF6G
101 Essays That Will Change the Way You Think,Brianna Wiest,Duración: 10 h y 45 m,https://www.audible.com/es_US/pd/101-Essays-That-Will-Change-the-Way-You-Think-Audiolibro/1977386865
Crown,Nicoli Gonnella,Duración: 22 h y 6 m,https://www.audible.com/es_US/pd/Crown-Audiolibro/B0CTRFY4P1
The #1 Lawyer,James Patterson,Duración: 13 h,https://www.audible.com/es_US/pd/The-1-Lawyer-Audiolibro/B0CBL52R1S
The Hero of Ages,Brandon Sanderson,Duración: 27 h y 25 m,https://www.audible.com/es_US/pd/The-Hero-of-Ages-Audiolibro/B002VA9IKK
If You Tell,Gregg Olsen,Duración: 10 h y 34 m,https://www.audible.com/es_US/pd/If-You-Tell-Audiolibro/1799708225
"Shōgun, Part One",James Clavell,Duración: 24 h y 18 m,https://www.audible.com/es_US/pd/Shogun-Part-One-Audiolibro/B0CPYZWTVR
Think and Grow Rich!,Napoleon Hill,Duración: 10 h y 33 m,https://www.audible.com/es_US/pd/Think-and-Grow-Rich-Audiolibro/B0CZPJ7G6F
Kingdom of Ash,Sarah J. Maas,Duración: 33 h y 11 m,https://www.audible.com/es_US/pd/Kingdom-of-Ash-Audiolibro/B07J682QY2
Oathbringer,Brandon Sanderson,Duración: 55 h y 5 m,https://www.audible.com/es_US/pd/Oathbringer-Audiolibro/B0718Z5K4C
Never Finished,David Goggins,Duración: 11 h y 6 m,https://www.audible.com/es_US/pd/Never-Finished-Audiolibro/B0BJ34FWZ3
Witch Is How the Tables Turned,Adele Abbott,Duración: 7 h y 50 m,https://www.audible.com/es_US/pd/Witch-Is-How-the-Tables-Turned-Audiolibro/B0CZSBLTTQ
Bad Nanny,Maya Nicole,Duración: 7 h y 30 m,https://www.audible.com/es_US/pd/Bad-Nanny-Audiolibro/B0CZPKDF1L
The Well of Ascension,Brandon Sanderson,Duración: 28 h y 56 m,https://www.audible.com/es_US/pd/The-Well-of-Ascension-Audiolibro/B002V5GLQ4
The Heart of Psychos: Part One,Ames Mills,Duración: 10 h y 46 m,https://www.audible.com/es_US/pd/The-Heart-of-Psychos-Part-One-Audiolibro/B0CX9MKNXF
Hunger Pains,B.L. Brunnemer,Duración: 12 h y 40 m,https://www.audible.com/es_US/pd/Hunger-Pains-Audiolibro/B0CRLDZPQ6
American Dreamer: Who Was Jay Gatsby?,Blanchard House,Duración: 4 h y 46 m,https://www.audible.com/es_US/pd/American-Dreamer-Who-Was-Jay-Gatsby-Audiolibro/B0CYQXS587
Fairy Tale,Stephen King,Duración: 24 h y 6 m,https://www.audible.com/es_US/pd/Fairy-Tale-Audiolibro/B09R62PV4B
Butcher & Blackbird,Brynne Weaver,Duración: 8 h y 43 m,https://www.audible.com/es_US/pd/Butcher-Blackbird-Audiolibro/B0CK8TTLS8
The Dungeon Anarchist's Cookbook,Matt Dinniman,Duración: 16 h y 54 m,https://www.audible.com/es_US/pd/The-Dungeon-Anarchists-Cookbook-Audiolibro/B094XCNV6G
The Invention of Prehistory,Stefanos Geroulanos,Duración: 14 h y 46 m,https://www.audible.com/es_US/pd/The-Invention-of-Prehistory-Audiolibro/B0CZLYQJJD
Gilded Wings,Jaymin Eve,Duración: 10 h y 13 m,https://www.audible.com/es_US/pd/Gilded-Wings-Audiolibro/B0CYTQ7Z7P
Empire of Storms,Sarah J. Maas,Duración: 25 h y 18 m,https://www.audible.com/es_US/pd/Empire-of-Storms-Audiolibro/B01KIQVHL6
Mind Games,Nora Roberts,Duración: 14 h y 52 m,https://www.audible.com/es_US/pd/Mind-Games-Audiolibro/B0CH1H42DP
Mother Faker,Brittanee Nicole,Duración: 10 h y 13 m,https://www.audible.com/es_US/pd/Mother-Faker-Audiolibro/B0CVLDWRMJ
House of Earth and Blood,Sarah J. Maas,Duración: 27 h y 50 m,https://www.audible.com/es_US/pd/House-of-Earth-and-Blood-Audiolibro/B082YHZPTY
Crown of Midnight,Sarah J. Maas,Duración: 12 h y 43 m,https://www.audible.com/es_US/pd/Crown-of-Midnight-Audiolibro/1547607556
365 Manifestation Meditation for Highly Sensitive People,Crystal Mendoza,Duración: 10 h y 26 m,https://www.audible.com/es_US/pd/365-Manifestation-Meditation-for-Highly-Sensitive-People-Audiolibro/B0CZBSWGWD
Lazarus: Enmity's Edge,Gary Kloster,Duración: 11 h y 47 m,https://www.audible.com/es_US/pd/Lazarus-Enmitys-Edge-Audiolibro/B0CV5XPFRN
A Court of Mist and Fury,Sarah J. Maas,Duración: 23 h y 16 m,https://www.audible.com/es_US/pd/A-Court-of-Mist-and-Fury-Audiolibro/B01DYO4QRQ
Countdown,Sean Oswald,Duración: 16 h y 40 m,https://www.audible.com/es_US/pd/Countdown-Audiolibro/B0CSZYX4F5
The Two Towers,J. R. R. Tolkien,Duración: 16 h y 40 m,https://www.audible.com/es_US/pd/The-Two-Towers-Audiolibro/B009ABHTF4
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Duración: 28 h y 16 m,https://www.audible.com/es_US/pd/The-David-Wolf-Mystery-Thriller-Series-Books-1-4-Audiolibro/B0776NGW2S
Defiance of the Fall 12,TheFirstDefier,Duración: 26 h y 24 m,https://www.audible.com/es_US/pd/Defiance-of-the-Fall-12-Audiolibro/B0CVBKSNJ9
The Two Towers,J. R. R. Tolkien,Duración: 20 h y 46 m,https://www.audible.com/es_US/pd/The-Two-Towers-Audiolibro/1705047580
The Housemaid Is Watching,Freida McFadden,Duración: 11 h y 42 m,https://www.audible.com/es_US/pd/The-Housemaid-Is-Watching-Audiolibro/B0CTMZBM36
The Dark Forest,Cixin Liu,Duración: 22 h y 36 m,https://www.audible.com/es_US/pd/The-Dark-Forest-Audiolibro/B010PKSKBA
Radley's Apocalypse for Horny Monsters,Annabelle Hawthorne,Duración: 25 h y 24 m,https://www.audible.com/es_US/ac/Radleys-Apocalypse-for-Horny-Monsters-Audiolibro/B0CXZHJZTG
"Broken Ice, Mended Hearts",Ryan Taylor,Duración: 10 h y 10 m,https://www.audible.com/es_US/pd/Broken-Ice-Mended-Hearts-Audiolibro/B0CZSWNYWM
Red Dead's History,Tore C. Olsson,Duración: 8 h y 30 m,https://www.audible.com/es_US/pd/Red-Deads-History-Audiolibro/B0CKM6FB83
Family: Posy,Mary Ann Weir,Duración: 10 h y 28 m,https://www.audible.com/es_US/pd/Family-Posy-Audiolibro/B0CZSTHXZV
Rhythm of War,Brandon Sanderson,Duración: 57 h y 26 m,https://www.audible.com/es_US/pd/Rhythm-of-War-Audiolibro/1250759781
Daunting Dilemmas,Edale Lane,Duración: 13 h y 8 m,https://www.audible.com/es_US/pd/Daunting-Dilemmas-Audiolibro/B0CZQTT2PH
A Court of Wings and Ruin,Sarah J. Maas,Duración: 25 h y 9 m,https://www.audible.com/es_US/pd/A-Court-of-Wings-and-Ruin-Audiolibro/B072BFQF1N
House of Flame and Shadow,Sarah J. Maas,Duración: 29 h y 42 m,https://www.audible.com/es_US/pd/House-of-Flame-and-Shadow-Audiolibro/B0CGSXFQYY
12 Rules for Life,Jordan B. Peterson,Duración: 15 h y 40 m,https://www.audible.com/es_US/pd/12-Rules-for-Life-Audiolibro/B0797YBP7N
The Seduction of Lord Sin,Bronwen Evans,Duración: 6 h y 28 m,https://www.audible.com/es_US/pd/The-Seduction-of-Lord-Sin-Audiolibro/B0B6RR47JK
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Duración: 33 h y 45 m,https://www.audible.com/es_US/pd/The-Chronicles-of-Narnia-Complete-Audio-Collection-Audiolibro/0061999881
Golden Son,Pierce Brown,Duración: 19 h y 3 m,https://www.audible.com/es_US/pd/Golden-Son-Audiolibro/B00R6S1RCY
Nameless vs the Army of the Dead,Brett Comeau,Duración: 7 h y 39 m,https://www.audible.com/es_US/pd/Nameless-vs-the-Army-of-the-Dead-Audiolibro/B0CZBRR7C2
I Thought I Knew,Melissa Trombetta,Duración: 9 h y 36 m,https://www.audible.com/es_US/pd/I-Thought-I-Knew-Audiolibro/B0CZT3DVL3
"Overlord, Vol. 13",Kugane Maruyama,Duración: 10 h,https://www.audible.com/es_US/pd/Overlord-Vol-13-Audiolibro/B0CW3NF5NY
The Chaos Agent,Mark Greaney,Duración: 17 h y 34 m,https://www.audible.com/es_US/pd/The-Chaos-Agent-Audiolibro/B0CCG7ZL2F
A Court of Frost and Starlight,Sarah J. Maas,Duración: 6 h y 23 m,https://www.audible.com/es_US/pd/A-Court-of-Frost-and-Starlight-Audiolibro/B07BFF2YG9
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,Duración: 28 h y 56 m,https://www.audible.com/es_US/pd/He-Who-Fights-with-Monsters-A-LitRPG-Adventure-Audiolibro/1774248182
Comeback Hero,Jackie Walker,Duración: 17 h y 56 m,https://www.audible.com/es_US/pd/Comeback-Hero-Audiolibro/B0CZMW7Q61
Slayers: A Buffyverse Story,Christopher Golden,Duración: 8 h y 2 m,https://www.audible.com/es_US/pd/Slayers-A-Buffyverse-Story-Audiolibro/B0CGJ1DNQ1
Fi,Alexandra Fuller,Duración: 6 h y 24 m,https://www.audible.com/es_US/pd/Fi-Audiolibro/B0CMYSPYM4
Avenging Angel,Kristen Ashley,Duración: 11 h y 16 m,https://www.audible.com/es_US/pd/Avenging-Angel-Audiolibro/B0CQKJXCV8
Carl's Doomsday Scenario,Matt Dinniman,Duración: 11 h y 28 m,https://www.audible.com/es_US/pd/Carls-Doomsday-Scenario-Audiolibro/B0934GTSGT
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Duración: 24 h y 21 m,https://www.audible.com/es_US/pd/A-Kingdom-of-Flesh-and-Fire-Audiolibro/1713548143
The Crown of Gilded Bones,Jennifer L. Armentrout,Duración: 25 h y 22 m,https://www.audible.com/es_US/pd/The-Crown-of-Gilded-Bones-Audiolibro/1713548178
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Duración: 98 h y 1 m,https://www.audible.com/es_US/pd/The-Word-of-Promise-Audio-BibleNew-King-James-Version-NKJV-Complete-Bible-Audiolibro/B003UC45I8
The Psychology of Secrets,Andrew Gold,Duración: 11 h y 36 m,https://www.audible.com/es_US/pd/The-Psychology-of-Secrets-Audiolibro/B0CN1KW3SV
Putting Out for a Hero,C. Rochelle,Duración: 11 h y 28 m,https://www.audible.com/es_US/pd/Putting-Out-for-a-Hero-Audiolibro/B0CX5W7CMR
The French Ingredient,Jane Bertch,Duración: 7 h y 22 m,https://www.audible.com/es_US/pd/The-French-Ingredient-Audiolibro/B0CDDJ7RT8
The Teacher,Freida McFadden,Duración: 9 h y 35 m,https://www.audible.com/es_US/pd/The-Teacher-Audiolibro/B0CPTKFJ46
Dietrich,Don Winslow,Duración: 1 h y 11 m,https://www.audible.com/es_US/pd/Dietrich-Audiolibro/B0CXF9PN9Q
The Path of Ascension: Books 1-3.5,C. Mantis,Duración: 70 h y 2 m,https://www.audible.com/es_US/pd/The-Path-of-Ascension-Books-1-35-Audiolibro/B0CC6J6XD2
A History of the World in Twelve Shipwrecks,David Gibbins,Duración: 14 h y 35 m,https://www.audible.com/es_US/pd/A-History-of-the-World-in-Twelve-Shipwrecks-Audiolibro/B0CY6X98XV
"Nailmaker: The Reaper, an Isekai LitRPG",A. Bel,Duración: 10 h y 45 m,https://www.audible.com/es_US/pd/Nailmaker-The-Reaper-an-Isekai-LitRPG-Audiolibro/B0CYNJB74Q
Undead Urges,Amanda M. Lee,Duración: 8 h y 56 m,https://www.audible.com/es_US/pd/Undead-Urges-Audiolibro/B0CZ1HCKM3
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Duración: 11 h y 49 m,https://www.audible.com/es_US/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiolibro/B017V4JA2Q
Sentinel,Mark Greaney,Duración: 17 h,https://www.audible.com/es_US/pd/Sentinel-Audiolibro/B0CKKLNGKK
A Court of Silver Flames,Sarah J. Maas,Duración: 26 h y 5 m,https://www.audible.com/es_US/pd/A-Court-of-Silver-Flames-Audiolibro/1980085722
"Red Flags, Green Flags",Dr Ali Fenwick,Duración: 8 h y 28 m,https://www.audible.com/es_US/pd/Red-Flags-Green-Flags-Audiolibro/B0CJY7ZQ25
America Falls Collection 1: Books 1-6,Scott Medbury,Duración: 33 h y 15 m,https://www.audible.com/es_US/pd/America-Falls-Collection-1-Books-1-6-Audiolibro/B0CCK6T3NP
The Wise Man's Fear,Patrick Rothfuss,Duración: 42 h y 55 m,https://www.audible.com/es_US/pd/The-Wise-Mans-Fear-Audiolibro/B004QISZN6
Nuclear War,Annie Jacobsen,Duración: 11 h y 19 m,https://www.audible.com/es_US/pd/Nuclear-War-Audiolibro/B0CF6R3R7W
Honed in Havoc,Albany Walker,Duración: 6 h y 42 m,https://www.audible.com/es_US/pd/Honed-in-Havoc-Audiolibro/B0CZFDBXG3
Discovering Daniel,Amir Tsarfati,Duración: 6 h y 13 m,https://www.audible.com/es_US/pd/Discovering-Daniel-Audiolibro/B0CP8MQ2ZC
Coming Out Republican,Neil J. Young,Duración: 13 h y 16 m,https://www.audible.com/es_US/pd/Coming-Out-Republican-Audiolibro/B0CT957MBM
Un animal salvaje [A Wild Animal],Joël Dicker,Duración: 10 h y 1 m,https://www.audible.com/es_US/pd/Un-animal-salvaje-A-Wild-Animal-Audiolibro/B0CZFL31QN
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Duración: 18 h y 32 m,https://www.audible.com/es_US/pd/Harry-Potter-and-the-Half-Blood-Prince-Book-6-Audiolibro/B017V4NOZ0
The Human-Machine Team,Brigadier General Y.S,Duración: 4 h y 27 m,https://www.audible.com/es_US/pd/The-Human-Machine-Team-Audiolibro/B09BSVQ74R
Ready Player Two,Ernest Cline,Duración: 13 h y 46 m,https://www.audible.com/es_US/pd/Ready-Player-Two-Audiolibro/0593396960
He Who Fights with Monsters 9,Shirtaloon,Duración: 28 h y 3 m,https://www.audible.com/es_US/pd/He-Who-Fights-with-Monsters-9-Audiolibro/B0BMCNHHWN
The Secret Lives of Booksellers and Librarians,James Patterson,Duración: 7 h y 55 m,https://www.audible.com/es_US/pd/The-Secret-Lives-of-Booksellers-and-Librarians-Audiolibro/B0CFC2DPV2
Raven: Part One,Piper Scott,Duración: 10 h y 12 m,https://www.audible.com/es_US/pd/Raven-Part-One-Audiolibro/B0CZBN42R7
Wake the Past,Sally Rigby,Duración: 6 h y 31 m,https://www.audible.com/es_US/pd/Wake-the-Past-Audiolibro/B0CWMBW22R
How to Talk to Anyone,Leil Lowndes,Duración: 8 h y 59 m,https://www.audible.com/es_US/pd/How-to-Talk-to-Anyone-Audiolibro/B013F5WEZK
The Primal Hunter 2,Zogarth,Duración: 19 h y 25 m,https://www.audible.com/es_US/pd/The-Primal-Hunter-2-Audiolibro/B09V5RZFDG
The Three-Body Problem,Cixin Liu,Duración: 13 h y 53 m,https://www.audible.com/es_US/pd/The-Three-Body-Problem-Audiolibro/B0CTRZ4XGN
48 Laws of Power,Robert Greene,Duración: 23 h y 6 m,https://www.audible.com/es_US/pd/48-Laws-of-Power-Audiolibro/B00WYDJ2YQ
"Heretical Fishing, Book 1",Haylock Jobson,Duración: 23 h y 56 m,https://www.audible.com/es_US/pd/Heretical-Fishing-Book-1-Audiolibro/B0CVCYB19Y
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Duración: 21 h y 36 m,https://www.audible.com/es_US/pd/Harry-Potter-and-the-Deathly-Hallows-Book-7-Audiolibro/B017WJ5ZK6
Song of Sorrows and Fate,LJ Andrews,Duración: 14 h y 6 m,https://www.audible.com/es_US/pd/Song-of-Sorrows-and-Fate-Audiolibro/B0CQMQJY13
The Shadow Rising,Robert Jordan,Duración: 41 h y 13 m,https://www.audible.com/es_US/pd/The-Shadow-Rising-Audiolibro/B002UZML5K
Little Stranger,Leigh Rivers,Duración: 6 h y 49 m,https://www.audible.com/es_US/ac/Little-Stranger-Audiolibro/B0CTRF4W1D
Eternally Yours,Kenya Wright,Duración: 7 h y 4 m,https://www.audible.com/es_US/pd/Eternally-Yours-Audiolibro/B0CJDB4DYQ
Breaking the Habit of Being Yourself,Joe Dispenza,Duración: 10 h y 49 m,https://www.audible.com/es_US/pd/Breaking-the-Habit-of-Being-Yourself-Audiolibro/B0868ZFF7X
Avalon Tower,C.N. Crawford,Duración: 11 h y 37 m,https://www.audible.com/es_US/pd/Avalon-Tower-Audiolibro/B0CZ7MX3JB
Take Me I'm Yours,Lili Valente,Duración: 9 h y 4 m,https://www.audible.com/es_US/pd/Take-Me-Im-Yours-Audiolibro/B0CZ4PC3VX
The God of Wild Places,Tony Jones,Duración: 6 h y 28 m,https://www.audible.com/es_US/pd/The-God-of-Wild-Places-Audiolibro/B0CZSCJ9VJ
What Did You Do?,Jeneane O'Riley,Duración: 11 h y 40 m,https://www.audible.com/es_US/pd/What-Did-You-Do-Audiolibro/B0CLYQ1HMF
If You Hate Me,Helena Hunting,Duración: 13 h y 14 m,https://www.audible.com/es_US/pd/If-You-Hate-Me-Audiolibro/B0CW3LVN1M
The Bad Weather Friend,Dean Koontz,Duración: 8 h y 42 m,https://www.audible.com/es_US/pd/The-Bad-Weather-Friend-Audiolibro/B0CC6YNDTH
The Boatmen,Jerry Boyd,Duración: 9 h y 3 m,https://www.audible.com/es_US/pd/The-Boatmen-Audiolibro/B0CWWZGTT8
Heir of Fire,Sarah J. Maas,Duración: 17 h y 56 m,https://www.audible.com/es_US/pd/Heir-of-Fire-Audiolibro/B09CHBJYZC
The Poison Pen,Paige Shelton,Duración: 9 h y 20 m,https://www.audible.com/es_US/pd/The-Poison-Pen-Audiolibro/B0CXR76FRR
Listen for the Lie,Amy Tintera,Duración: 9 h y 18 m,https://www.audible.com/es_US/pd/Listen-for-the-Lie-Audiolibro/B0C3PHN7SV
