Line Number,Year,Month,State,Labor Force,Employed,Unemployed,Unemployment Rate,Industry,Gender,Education Level,Date Inserted,InsertSource,Data Version,Access Permission,Update Frequency,Aggregation Level,Data Accuracy
378,2000,Jul,CA,120000,112800,7200,0.06,Agriculture,Male,Bachelor's degree,7/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
379,2000,Jul,CA,82000,76840,5160,0.062926829,Manufacturing,Female,High school diploma,7/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
380,2000,Aug,CA,125000,115000,10000,0.08,Healthcare,Male,Master's degree,8/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
381,2000,Aug,CA,85000,77000,8000,0.094117647,Wholesale Trade,Female,Associate's degree,8/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
382,2000,Aug,NY,162000,152000,10000,0.061728395,Healthcare,Male,Master's degree,8/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
383,2000,Aug,NY,91000,81000,10000,0.10989011,Retail,Female,Associate's degree,8/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
384,2000,Sep,NY,95000,87000,8000,0.084210526,Education,Male,Bachelor's degree,9/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
385,2000,Sep,NY,59000,53000,6000,0.101694915,Energy,Female,High school diploma,9/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
386,2000,Sep,CA,102000,91800,10200,0.1,Education,Male,Bachelor's degree,9/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
387,2000,Sep,CA,141000,126900,14100,0.1,Energy,Female,High school diploma,9/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
388,2000,Oct,NY,118000,107000,11000,0.093220339,Finance,Male,Bachelor's degree,10/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
389,2000,Oct,NY,71000,64000,7000,0.098591549,Agriculture,Female,High school diploma,10/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
390,2000,Oct,CA,173000,155700,17300,0.1,Finance,Male,Bachelor's degree,10/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
391,2000,Oct,CA,102000,91800,10200,0.1,Agriculture,Female,High school diploma,10/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
392,2000,Nov,CA,132000,121000,11000,0.083333333,Healthcare,Male,Master's degree,11/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
393,2000,Nov,CA,88000,80000,8000,0.090909091,Retail,Female,Associate's degree,11/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
394,2000,Nov,NY,125000,118125,6875,0.055,Healthcare,Male,Master's degree,11/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
395,2000,Nov,NY,85000,79875,5125,0.060294118,Retail,Female,Associate's degree,11/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
396,2000,Dec,NY,99000,91000,8000,0.080808081,Education,Male,Bachelor's degree,12/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
397,2000,Dec,NY,62000,56000,6000,0.096774194,Energy,Female,High school diploma,12/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
398,2000,Dec,CA,59000,53000,6000,0.101694915,Finance,Male,Bachelor's degree,12/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
399,2000,Dec,CA,102000,91800,10200,0.1,Energy,Female,High school diploma,12/1/2000,Web,V2.3,Public,Monthly,Country,Highly Random
400,2001,Jan,NY,104000,95000,9000,0.086538462,Healthcare,Male,Bachelor's degree,1/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
401,2001,Jan,NY,63000,57000,6000,0.095238095,Retail,Female,High school diploma,1/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
402,2001,Jan,CA,75000,68500,6500,0.086666667,Finance,Male,Bachelor's degree,1/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
403,2001,Jan,CA,160000,144000,16000,0.1,Healthcare,Female,High school diploma,1/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
404,2001,Feb,CA,126000,115000,11000,0.087301587,Agriculture,Male,Master's degree,2/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
405,2001,Feb,CA,86000,78000,8000,0.093023256,Retail,Female,Associate's degree,2/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
406,2001,Feb,NY,135000,131500,3500,0.025925926,Agriculture,Male,Master's degree,2/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
407,2001,Feb,NY,90000,61000,29000,0.322222222,Retail,Female,Associate's degree,2/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
408,2001,Mar,NY,230000,207000,23000,0.1,Wholesale Trade,Male,Bachelor's degree,3/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
409,2001,Mar,NY,120000,108000,12000,0.1,Healthcare,Female,High school diploma,3/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
410,2001,Mar,CA,141000,136900,4100,0.029078014,Agriculture,Male,Bachelor's degree,3/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
411,2001,Mar,CA,90000,81420,8580,0.095333333,Healthcare,Female,High school diploma,3/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
412,2001,Apr,CA,170000,153000,17000,0.1,Manufacturing,Male,Bachelor's degree,4/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
413,2001,Apr,CA,128000,115200,12800,0.1,Retail,Female,High school diploma,4/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
414,2001,Apr,NY,170000,144500,25500,0.15,Agriculture,Male,Bachelor's degree,4/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
415,2001,Apr,NY,110000,93500,16500,0.15,Retail,Female,High school diploma,4/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
416,2001,May,NY,140000,126000,14000,0.1,Finance,Male,Master's degree,5/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
417,2001,May,NY,90000,81000,9000,0.1,Education,Female,Associate's degree,5/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
418,2001,May,CA,52000,34200,17800,0.342307692,Finance,Male,Master's degree,5/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
419,2001,May,CA,62000,41700,20300,0.327419355,Education,Female,Associate's degree,5/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
420,2001,Jun,NY,190000,171000,19000,0.1,Energy,Male,Bachelor's degree,6/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
421,2001,Jun,NY,100000,90000,10000,0.1,Healthcare,Female,High school diploma,6/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
422,2001,Jun,CA,125000,92500,32500,0.26,Energy,Male,Bachelor's degree,6/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
423,2001,Jun,CA,111000,92000,19000,0.171171171,Wholesale Trade,Female,High school diploma,6/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
424,2001,Jul,CA,140000,126000,14000,0.1,Manufacturing,Male,Bachelor's degree,7/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
425,2001,Jul,CA,105000,94500,10500,0.1,Retail,Female,High school diploma,7/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
426,2001,Jul,NY,141000,136900,4100,0.029078014,Manufacturing,Male,Bachelor's degree,7/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
427,2001,Jul,NY,90000,81420,8580,0.095333333,Retail,Female,High school diploma,7/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
428,2001,Aug,NY,115000,103500,11500,0.1,Finance,Male,Master's degree,8/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
429,2001,Aug,NY,75000,67500,7500,0.1,Education,Female,Associate's degree,8/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
430,2001,Aug,CA,99000,91000,8000,0.080808081,Finance,Male,Master's degree,8/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
431,2001,Aug,CA,62000,56000,6000,0.096774194,Education,Female,Associate's degree,8/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
432,2001,Sep,NY,160000,144000,16000,0.1,Agriculture,Male,Bachelor's degree,9/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
433,2001,Sep,NY,85000,76500,8500,0.1,Healthcare,Female,High school diploma,9/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
434,2001,Sep,CA,190000,182000,8000,0.042105263,Agriculture,Male,Bachelor's degree,9/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
435,2001,Sep,CA,185000,154500,30500,0.164864865,Healthcare,Female,High school diploma,9/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
436,2001,Oct,CA,190000,171000,19000,0.1,Manufacturing,Male,Bachelor's degree,10/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
437,2001,Oct,CA,120000,108000,12000,0.1,Retail,Female,High school diploma,10/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
438,2001,Oct,NY,125000,102500,22500,0.18,Manufacturing,Male,Bachelor's degree,10/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
439,2001,Oct,NY,80000,62000,18000,0.225,Retail,Female,High school diploma,10/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
440,2001,Nov,CA,173000,155700,17300,0.1,Healthcare,Male,High school diploma,11/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
441,2001,Nov,CA,102000,91800,10200,0.1,Wholesale Trade,Female,Bachelor's degree,11/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
442,2001,Nov,NY,161000,154900,6100,0.037888199,Healthcare,Male,High school diploma,11/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
443,2001,Nov,NY,87000,68300,18700,0.214942529,Retail,Female,Bachelor's degree,11/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
444,2001,Dec,NY,141000,126900,14100,0.1,Education,Male,Associate's degree,12/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
445,2001,Dec,NY,90000,81000,9000,0.1,Finance,Female,High school diploma,12/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
446,2001,Dec,CA,99000,91000,8000,0.080808081,Education,Male,Associate's degree,12/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
447,2001,Dec,CA,62000,56000,6000,0.096774194,Finance,Female,High school diploma,12/1/2001,Web,V2.3,Public,Monthly,Country,Highly Random
448,2002,Jan,NY,159000,143100,15900,0.1,Agriculture,Male,Master's degree,1/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
449,2002,Jan,NY,84000,75600,8400,0.1,Healthcare,Female,Bachelor's degree,1/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
450,2002,Jan,CA,125000,92500,32500,0.26,Agriculture,Male,Master's degree,1/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
451,2002,Jan,CA,111000,92000,19000,0.171171171,Construction,Female,Bachelor's degree,1/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
452,2002,Feb,CA,178000,160200,17800,0.1,Manufacturing,Male,High school diploma,2/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
453,2002,Feb,CA,103000,92700,10300,0.1,Retail,Female,Bachelor's degree,2/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
454,2002,Feb,NY,145000,110500,34500,0.237931034,Manufacturing,Male,Associate's degree,2/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
455,2002,Feb,NY,87000,68300,18700,0.214942529,Energy,Female,High school diploma,2/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
456,2002,Mar,NY,145000,130500,14500,0.1,Finance,Male,Associate's degree,3/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
457,2002,Mar,NY,87000,78300,8700,0.1,Education,Female,High school diploma,3/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
458,2002,Mar,CA,141000,136900,4100,0.029078014,Agriculture,Male,Bachelor's degree,3/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
459,2002,Mar,CA,90000,81420,8580,0.095333333,Wholesale Trade,Female,High school diploma,3/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
460,2002,Apr,NY,161000,144900,16100,0.1,Healthcare,Male,Master's degree,4/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
461,2002,Apr,NY,87000,78300,8700,0.1,Agriculture,Female,Bachelor's degree,4/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
462,2002,Apr,CA,98000,83300,14700,0.15,Manufacturing,Female,Master's degree,4/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
463,2002,Apr,CA,51000,43350,7650,0.15,Retail,Male,Associate's degree,4/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
464,2002,May,CA,180000,162000,18000,0.1,Retail,Male,High school diploma,5/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
465,2002,May,CA,105000,94500,10500,0.1,Manufacturing,Female,Bachelor's degree,5/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
466,2002,May,NY,110000,103400,6600,0.06,Healthcare,Male,Associate's degree,5/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
467,2002,May,NY,90000,84375,5625,0.0625,Finance,Female,Bachelor's degree,5/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
468,2002,Jun,NY,147000,132300,14700,0.1,Finance,Male,Associate's degree,6/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
469,2002,Jun,NY,88000,79200,8800,0.1,Education,Female,High school diploma,6/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
470,2002,Jun,CA,95000,80750,14250,0.15,Wholesale Trade,Male,Master's degree,6/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
471,2002,Jun,CA,67000,56950,10050,0.15,Finance,Female,Associate's degree,6/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
472,2002,Jul,NY,220000,198200,21800,0.099090909,Healthcare,Female,High school diploma,7/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
473,2002,Jul,CA,95000,85600,9400,0.098947368,Retail,Female,Bachelor's degree,7/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
474,2002,Jul,NY,110000,93500,16500,0.15,Retail,Male,Bachelor's degree,7/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
475,2002,Jul,NY,75000,63750,11250,0.15,Agriculture,Female,High school diploma,7/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
476,2002,Aug,CA,150000,135500,14500,0.096666667,Finance,Male,Master's degree,8/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
477,2002,Aug,CA,95000,85600,9400,0.098947368,Retail,Female,Bachelor's degree,8/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
478,2002,Aug,NY,88000,55500,32500,0.369318182,Construction,Male,Master's degree,8/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
479,2002,Aug,NY,95000,85600,9400,0.098947368,Retail,Female,Bachelor's degree,8/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
480,2002,Sep,NY,125000,112500,12500,0.1,Education,Male,Associate's degree,9/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
481,2002,Sep,NY,80000,72000,8000,0.1,Agriculture,Female,High school diploma,9/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
482,2002,Sep,CA,90000,81000,9000,0.1,Finance,Male,Associate's degree,9/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
483,2002,Sep,CA,820000,739000,81000,0.098780488,Agriculture,Female,High school diploma,9/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
484,2002,Oct,NY,180000,162000,18000,0.1,Manufacturing,Male,Bachelor's degree,10/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
485,2002,Oct,NY,95000,85500,9500,0.1,Healthcare,Female,High school diploma,10/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
486,2002,Oct,CA,145000,133250,11750,0.081034483,Education,Male,Bachelor's degree,10/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
487,2002,Oct,CA,95000,90750,4250,0.044736842,Healthcare,Female,High school diploma,10/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
488,2002,Nov,CA,135000,121500,13500,0.1,Energy,Male,Master's degree,11/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
489,2002,Nov,CA,90000,81000,9000,0.1,Retail,Female,Associate's degree,11/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
490,2002,Nov,NY,140500,102000,38500,0.274021352,Energy,Male,Master's degree,11/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
491,2002,Nov,NY,83100,68000,15100,0.181708785,Construction,Female,Associate's degree,11/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
492,2002,Dec,NY,110000,99000,11000,0.1,Education,Male,High school diploma,12/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
493,2002,Dec,NY,70000,63000,7000,0.1,Healthcare,Female,Bachelor's degree,12/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
494,2002,Dec,CA,125000,99000,26000,0.208,Education,Male,High school diploma,12/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
495,2002,Dec,CA,90000,83000,7000,0.077777778,Education,Female,Bachelor's degree,12/1/2002,Web,V2.3,Public,Monthly,Country,Highly Random
496,2003,Jan,NY,200000,180000,20000,0.1,Manufacturing,Male,Master's degree,1/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
497,2003,Jan,NY,105000,94500,10500,0.1,Construction,Female,High school diploma,1/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
498,2003,Jan,CA,87800,68300,19500,0.222095672,Manufacturing,Male,Master's degree,1/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
499,2003,Jan,CA,141300,126900,14400,0.101910828,Retail,Female,High school diploma,1/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
500,2003,Feb,CA,145000,130520,14480,0.099862069,Agriculture,Male,Bachelor's degree,2/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
501,2003,Feb,CA,90000,81000,9000,0.1,Healthcare,Female,Associate's degree,2/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
502,2003,Feb,NY,95310,60750,34560,0.362606232,Agriculture,Male,Bachelor's degree,2/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
503,2003,Feb,NY,97000,90950,6050,0.062371134,Healthcare,Female,Associate's degree,2/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
504,2003,Mar,NY,120000,108000,12000,0.1,Wholesale Trade,Male,Bachelor's degree,3/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
505,2003,Mar,NY,125000,112500,12500,0.1,Education,Male,Associate's degree,3/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
506,2003,Mar,CA,98000,93300,4700,0.047959184,Finance,Male,Bachelor's degree,3/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
507,2003,Mar,CA,55000,53350,1650,0.03,Education,Male,Associate's degree,3/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
508,2003,Apr,NY,110000,93500,16500,0.15,Retail,Male,Bachelor's degree,4/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
509,2003,Apr,NY,75000,63750,11250,0.15,Agriculture,Female,High school diploma,4/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
510,2003,Apr,CA,140990,99000,41990,0.297822541,Retail,Male,Bachelor's degree,4/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
511,2003,Apr,CA,80000,76500,3500,0.04375,Agriculture,Female,High school diploma,4/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
512,2003,May,CA,95000,80750,14250,0.15,Healthcare,Male,Master's degree,5/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
513,2003,May,CA,67000,56950,10050,0.15,Finance,Female,Associate's degree,5/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
514,2003,May,NY,98000,80750,17250,0.176020408,Healthcare,Male,Master's degree,5/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
515,2003,May,NY,110000,56950,53050,0.482272727,Finance,Female,Associate's degree,5/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
516,2003,Jun,NY,80000,68000,12000,0.15,Manufacturing,Male,Bachelor's degree,6/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
517,2003,Jun,NY,53000,45050,7950,0.15,Education,Female,High school diploma,6/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
518,2003,Jun,CA,120000,100750,19250,0.160416667,Manufacturing,Male,Bachelor's degree,6/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
519,2003,Jun,CA,95000,56950,38050,0.400526316,Education,Female,High school diploma,6/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
520,2003,Jul,NY,90000,86500,3500,0.038888889,Energy,Male,Bachelor's degree,7/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
521,2003,Jul,NY,60000,51000,9000,0.15,Healthcare,Female,High school diploma,7/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
522,2003,Jul,CA,67000,56950,10050,0.15,Professional and Business S.,Male,Associate's degree,7/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
523,2003,Jul,CA,98000,80750,17250,0.176020408,"Trade, Transportation, Util.",Female,Master's degree,7/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
524,2003,Aug,CA,77000,65450,11550,0.15,Construction,Male,Bachelor's degree,8/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
525,2003,Aug,CA,52000,44200,7800,0.15,Agriculture,Female,High school diploma,8/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
526,2003,Aug,NY,90000,84375,5625,0.0625,Energy,Male,Bachelor's degree,8/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
527,2003,Aug,NY,90000,83000,7000,0.077777778,Finance,Female,High school diploma,8/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
528,2003,Sep,NY,62000,52700,9300,0.15,Retail,Male,Master's degree,9/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
529,2003,Sep,NY,42000,35700,6300,0.15,Healthcare,Female,Associate's degree,9/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
530,2003,Sep,CA,12451600,11224400,1227200,0.098557615,Hospitality,Male,Associate's degree,9/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
531,2003,Sep,CA,17678400,15576000,2102400,0.11892479,Professional and Business S.,Female,Master's degree,9/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
532,2003,Oct,NY,80000,68000,12000,0.15,"Trade, Transportation, Util.",Male,Bachelor's degree,10/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
533,2003,Oct,NY,54000,45900,8100,0.15,Energy,Female,High school diploma,10/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
534,2003,Oct,CA,165000,140250,24750,0.15,Finance,Male,High school diploma,10/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
535,2003,Oct,CA,230000,207000,23000,0.1,Hospitality,Female,Associate's degree,10/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
536,2003,Nov,CA,120000,108000,12000,0.1,Energy,Male,Master's degree,11/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
537,2003,Nov,CA,49000,41650,7350,0.15,Retail,Female,Bachelor's degree,11/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
538,2003,Nov,NY,85000,81000,4000,0.047058824,Professional and Business S.,Male,High school diploma,11/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
539,2003,Nov,NY,120000,112200,7800,0.065,"Trade, Transportation, Util.",Female,Master's degree,11/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
540,2003,Dec,NY,135000,121500,13500,0.1,Energy,Male,Associate's degree,12/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
541,2003,Dec,NY,90000,81000,9000,0.1,Finance,Female,Bachelor's degree,12/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
542,2003,Dec,CA,103000,94000,9000,0.087378641,Hospitality,Male,High school diploma,12/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
543,2003,Dec,CA,80000,68000,12000,0.15,Professional and Business S.,Female,Master's degree,12/1/2003,Web,V2.3,Public,Monthly,Country,Highly Random
544,2004,Jan,NY,75000,68000,7000,0.093333333,"Trade, Transportation, Util.",Male,Associate's degree,1/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
545,2004,Jan,NY,95000,80750,14250,0.15,Energy,Female,Bachelor's degree,1/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
546,2004,Jan,CA,15321000,14181000,1140000,0.074407676,Finance,Male,Master's degree,1/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
547,2004,Jan,CA,11404000,10546000,858000,0.075236759,Hospitality,Female,Associate's degree,1/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
548,2004,Feb,CA,160000,136000,24000,0.15,Manufacturing,Male,Bachelor's degree,2/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
549,2004,Feb,CA,105000,89250,15750,0.15,Finance,Female,Bachelor's degree,2/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
550,2004,Feb,NY,65400,62000,3400,0.051987768,Professional and Business S.,Male,Associate's degree,2/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
551,2004,Feb,NY,15321000,14181000,1140000,0.074407676,Finance,Female,Associate's degree,2/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
552,2004,Mar,NY,11404000,10546000,858000,0.075236759,Hospitality,Male,High school diploma,3/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
553,2004,Mar,NY,85000,74250,10750,0.126470588,Retail,Female,Master's degree,3/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
554,2004,Mar,CA,85000,81000,4000,0.047058824,Professional and Business S.,Male,Associate's degree,3/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
555,2004,Mar,CA,5291,5022,269,0.050841051,"Trade, Transportation, Util.",Female,Associate's degree,3/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
556,2004,Apr,NY,155000,131750,23250,0.15,Energy,Male,Associate's degree,4/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
557,2004,Apr,NY,100000,85000,15000,0.15,Finance,Female,Bachelor's degree,4/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
558,2004,Apr,CA,165000,140250,24750,0.15,Hospitality,Male,Associate's degree,4/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
559,2004,Apr,CA,9800000,9082500,717500,0.073214286,Professional and Business S.,Female,Associate's degree,4/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
560,2004,May,CA,8700000,8047500,652500,0.075,Finance,Male,High school diploma,5/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
561,2004,May,CA,110000,93500,16500,0.15,Hospitality,Female,Master's degree,5/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
562,2004,May,NY,817000,754000,63000,0.077111383,Professional and Business S.,Male,Associate's degree,5/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
563,2004,May,NY,407000,378000,29000,0.071253071,"Trade, Transportation, Util.",Female,Associate's degree,5/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
564,2004,Jun,NY,140000,119000,21000,0.15,Energy,Male,Master's degree,6/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
565,2004,Jun,NY,90000,76500,13500,0.15,Finance,Female,Bachelor's degree,6/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
566,2004,Jun,CA,17678400,15576000,2102400,0.11892479,Hospitality,Male,High school diploma,6/1/2004,Web,V2.3,Public,Monthly,Country,Highly Random
